report_date,incident number,incident name,start date,incident type,county,latitude,longitude,area,area measurement
7/29/2017,593_16039,Mm110 I84,7/28/2017,WF,16039,42.9753,-115.5041,40.0,ACRES
8/9/2017,768_41065,0768 Rn,8/8/2017,WF,41065,44.934329999999996,-120.486,40.0,ACRES
8/11/2017,819_41031,0819 Rn,8/10/2017,WF,41031,44.773140000000005,-121.0804,40.0,ACRES
7/30/2017,1042_6063,Minerva 4,7/29/2017,WF,6063,39.90566,-120.9721,40.0,ACRES
9/22/2017,1070_8083,Hoope Point,9/21/2017,WF,8083,37.591609999999996,-108.5746,40.0,ACRES
7/16/2017,1216_16001,Otr 217,7/15/2017,WF,16001,43.1675,-116.0136,40.0,ACRES
7/27/2017,1548_53065,North Mill,7/26/2017,WF,53065,48.691590000000005,-117.7038,40.0,ACRES
10/18/2017,2412_30039,Gem Mountain,10/17/2017,WF,30039,46.27655,-113.6105,40.0,ACRES
10/23/2017,3748_6071,Capitan,10/21/2017,WF,6071,29.5777778,-94.4675,40.0,ACRES
4/4/2017,4489_28455,Cr 260,4/2/2017,WF,28455,31.067777799999998,-95.40611109999999,40.0,ACRES
2/1/2017,6047_48037,6047,1/31/2017,WF,48037,33.3710167,-94.2828833,40.0,ACRES
3/4/2017,6095_48277,6095,3/3/2017,WF,48277,33.7702333,-95.5110167,40.0,ACRES
1/29/2017,7014_48073,7014,1/28/2017,WF,48073,32.0529,-95.3216833,40.0,ACRES
11/4/2017,7156_48073,7156,11/2/2017,WF,48073,31.7621333,-95.2905,40.0,ACRES
7/17/2017,10957_6065,Millard,7/16/2017,WF,6065,33.94701,-116.8151,40.0,ACRES
7/21/2017,17119_30123,Tin Cup,7/20/2017,WF,30123,29.093888899999996,-97.2891667,40.0,ACRES
8/31/2017,17223_16107,Crooked Creek,8/30/2017,WF,16107,40.669990000000006,-107.1414,40.0,ACRES
4/9/2017,70247_12079,Leno Rd,4/8/2017,WF,12079,35.019722200000004,-120.29944440000001,40.0,ACRES
3/25/2017,100260_12035,Candleberry,3/24/2017,WF,12035,29.452779999999997,-81.405,40.0,ACRES
7/3/2017,700231_30111,Peasebottom,7/2/2017,WF,30111,46.24839,-107.5368,40.0,ACRES
7/7/2017,235_56003,Lane 31 1/2,7/6/2017,WF,56003,44.227920000000005,-107.9669,39.8,ACRES
12/12/2017,3044_48035,2130,12/11/2017,WF,48035,31.917366700000002,-97.7860833,39.8,ACRES
10/27/2017,17309_41049,309 Hollywood,10/26/2017,WF,41049,45.08312,-119.521,39.8,ACRES
10/26/2017,17436_56033,Acme,10/25/2017,WF,56033,44.91172,-107.0101,39.6,ACRES
7/16/2017,1424_53043,Cole Ranch,7/15/2017,WF,53043,47.64115,-118.4516,39.3,ACRES
3/22/2017,42_35047,Beindante Ranch,3/21/2017,WF,35047,35.219609999999996,-105.2654,39.0,ACRES
6/6/2017,66_16073,Twin Butte,6/5/2017,WF,16073,42.72385,-115.24799999999999,39.0,ACRES
6/25/2017,269_49001,Mm 107 I-15,6/24/2017,WF,49001,38.216229999999996,-112.6476,39.0,ACRES
11/20/2017,1036_48303,2378,11/18/2017,WF,48303,33.6528333,-102.0791667,39.0,ACRES
7/26/2017,1538_53063,Laurel Road,7/25/2017,WF,53063,47.95263,-117.352,39.0,ACRES
10/27/2017,6211_48387,6211,10/26/2017,WF,48387,33.3955333,-95.0564667,39.0,ACRES
7/7/2017,142_30087,Rough Draw - Rosebud,7/6/2017,WF,30087,45.78978,-106.816,38.9,ACRES
7/24/2017,267_30075,Dry Lake,7/23/2017,WF,30075,45.28325,-106.0298,38.9,ACRES
7/9/2017,20137_32013,Kunkel,7/8/2017,WF,32013,41.558017,-117.80513300000001,38.62,ACRES
7/25/2017,30433_32019,Speedway,7/24/2017,WF,32019,39.522009999999995,-119.1814,38.3,ACRES
7/4/2017,20118_32013,Poleline,7/3/2017,WF,32013,41.3602,-117.56855,38.26,ACRES
7/10/2017,695_4003,Whetstones,7/9/2017,WF,4003,31.903470000000002,-110.3878,38.2,ACRES
3/14/2017,18_35045,Upper Fruitland Lane 1,3/13/2017,WF,35045,36.728333299999996,-108.3688889,38.0,ACRES
4/15/2017,43_8051,Powderhorn,4/14/2017,WF,8051,38.24439,-107.0741,38.0,ACRES
6/27/2017,135_16053,Gun Range,6/26/2017,WF,16053,42.80543,-114.4224,38.0,ACRES
12/4/2017,237_35045,Shiprock 12,12/3/2017,WF,35045,36.7769444,-108.69055559999998,38.0,ACRES
7/23/2017,275_8103,Miller Creek,7/22/2017,WF,8103,39.95117,-107.7828,38.0,ACRES
8/13/2017,514_30021,Belle Prairie - Dawson,8/12/2017,WF,30021,47.14647,-104.5251,38.0,ACRES
7/7/2017,606_4007,Mine Tank,7/6/2017,WF,4007,33.82595,-110.3611,38.0,ACRES
6/16/2017,788_8021,North Millsap,6/15/2017,WF,8021,37.7177778,-112.83666670000001,38.0,ACRES
10/19/2017,880_30029,Deer Run,10/17/2017,WF,30029,48.14817,-114.3913,38.0,ACRES
12/2/2017,1623_4021,Quail,12/1/2017,WF,4021,33.02036,-111.5715,38.0,ACRES
3/2/2017,7076_48405,7076,3/1/2017,WF,48405,31.4783,-94.1021667,38.0,ACRES
11/1/2017,2304_6089,Bridge,10/31/2017,WF,6089,40.774440000000006,-122.3088,37.4,ACRES
6/18/2017,270_49049,Sage Assist,6/17/2017,WF,49049,40.39347,-111.95100000000001,37.27,ACRES
7/29/2017,153_41045,Antelope,7/28/2017,WF,41045,42.80656,-117.2025,37.0,ACRES
7/14/2017,281_56043,Mobile,7/13/2017,WF,56043,43.965920000000004,-107.8233,37.0,ACRES
2/26/2017,1220_12023,West,2/25/2017,WF,12023,30.33411,-82.5488,37.0,ACRES
2/19/2017,8039_48373,8039,2/18/2017,WF,48373,30.8947167,-95.0606667,37.0,ACRES
11/29/2017,17060_18089,Tolleston 1,11/28/2017,WF,18089,41.5969444,-87.23222220000001,37.0,ACRES
4/25/2017,20039_28111,Red Oak,4/24/2017,WF,28111,30.94753,-88.92541999999999,37.0,ACRES
11/28/2017,20053_28111,Wheres The Tide,11/27/2017,WF,28111,31.004444399999997,-89.11694440000001,37.0,ACRES
7/4/2017,384_30017,Haddow - Custer,7/3/2017,WF,30017,46.0691,-105.9245,36.7,ACRES
9/1/2017,464_53007,Stayman,8/31/2017,WF,53007,47.7705,-120.1591,36.6,ACRES
2/13/2017,77_29123,Burns Mountain,2/12/2017,WF,29123,37.46822,-90.2582,36.5,ACRES
10/19/2017,6150_4005,Perrin,10/18/2017,WF,4005,35.41022,-112.2299,36.5,ACRES
3/22/2017,98_35005,Harrel,3/21/2017,WF,35005,33.38658,-104.3024,36.0,ACRES
8/24/2017,349_16031,Six Mile,8/23/2017,WF,16031,42.13373,-113.2332,36.0,ACRES
8/12/2017,355_30027,355,8/11/2017,WF,30027,47.768333,-108.99166699999999,36.0,ACRES
7/9/2017,385_49053,Quail Lake,7/8/2017,WF,49053,37.1999,-113.3939,36.0,ACRES
9/5/2017,516_53059,Bear Creek,9/4/2017,WF,53059,45.7741,-121.7871,36.0,ACRES
8/13/2017,565_30029,Cyclone Lake,8/12/2017,WF,30029,48.69534,-114.3006,36.0,ACRES
7/18/2017,580_49045,Corral,7/17/2017,WF,49045,40.61983,-112.5672,36.0,ACRES
7/10/2017,647_4011,Yam,7/9/2017,WF,4011,33.493809999999996,-109.0652,36.0,ACRES
11/20/2017,1104_40011,100 Bales,11/19/2017,WF,40011,35.811609999999995,-98.48555,36.0,ACRES
3/22/2017,1509_48503,Ribble Farm Road,3/21/2017,WF,48503,32.9703333,-98.529,36.0,ACRES
12/10/2017,1534_48059,County Road 254,12/9/2017,WF,48059,32.3656333,-99.48995,36.0,ACRES
7/4/2017,2010_48451,Hermitage,7/3/2017,WF,48451,31.1541667,-100.5385,36.0,ACRES
3/24/2017,3018_48221,Wildcat Knob,3/23/2017,WF,48221,32.31305,-97.88555,36.0,ACRES
12/11/2017,3041_48363,180 West,12/10/2017,WF,48363,32.784,-98.2176667,36.0,ACRES
1/12/2017,7006_48005,7006,1/10/2017,WF,48005,31.0746,-94.5525667,36.0,ACRES
12/15/2017,7187_48073,7187,12/13/2017,WF,48073,32.127416700000005,-95.1904833,36.0,ACRES
7/24/2017,11200_6113,Dollar,7/22/2017,WF,6113,36.351388899999996,-96.3675,36.0,ACRES
7/8/2017,13759_6027,Banderilla,7/7/2017,WF,6027,40.7058333,-117.6975,36.0,ACRES
3/19/2017,17039_56031,Mule Creek Rd,3/18/2017,WF,56031,41.81774,-105.2532,36.0,ACRES
2/6/2017,40_29203,Sycamore,2/5/2017,WF,29203,37.03546,-91.29611,35.99,ACRES
7/9/2017,100176_49047,North Pelican,7/8/2017,WF,49047,40.2256,-109.6914,35.6,ACRES
7/16/2017,17176_56005,Trail Creek,7/15/2017,WF,56005,44.94124,-105.1674,35.5,ACRES
7/4/2017,79_30053,South Fork Hill,7/3/2017,WF,30053,48.67022,-115.4579,35.0,ACRES
6/11/2017,135_8077,Monarch Mine,6/9/2017,WF,8077,39.18438,-108.516,35.0,ACRES
7/26/2017,215_56037,Bitter Creek,7/24/2017,WF,56037,41.51984,-109.2586,35.0,ACRES
8/27/2017,220_16029,Caribou County Assist 1,8/26/2017,WF,16029,42.572070000000004,-111.7567,35.0,ACRES
8/8/2017,364_30075,Wilbur,8/7/2017,WF,30075,45.57115,-105.9706,35.0,ACRES
7/6/2017,414_16017,Old Freezeout,7/5/2017,WF,16017,43.7519,-121.4253,35.0,ACRES
12/12/2017,432_29055,Curtis,12/11/2017,WF,29055,37.94662,-91.12,35.0,ACRES
8/16/2017,659_41033,Green Valley,8/15/2017,WF,41033,42.0167,-123.3347,35.0,ACRES
7/31/2017,702_49003,Sunset Pass,7/30/2017,WF,49003,41.74828,-112.5804,35.0,ACRES
8/4/2017,735_41035,Pipeline 0735 Cr,8/3/2017,WF,41035,43.44983,-121.6928,35.0,ACRES
6/24/2017,886_4015,Lava,6/23/2017,WF,4015,34.48519,-113.3404,35.0,ACRES
10/6/2017,999_40015,Stecker 802,10/5/2017,WF,40015,34.953829999999996,-98.33076,35.0,ACRES
